Icfes_nuevo;Icfes_Matematicas;Tiempo_empleado_en_la_verificación_de_conocimientos;Dominio_Inicial;Categoria_temas_inicial;avance_precalculo_aleks;Dominio_Final;Categoria_temas_final;Tiempo_Total_Tiempo;Tiempo_total_Aprendidos_hora;programa_en_matricula;division_en_matricula;Mat_Curso_Asignatura_Relacionada;avance_cuartiles;cumplimiento_temas;nota_primer_parcial;nota_final
284;63;1,157511239;7;1 Repaso de álgebra y geometría;4;12;2 Ecuaciones y desigualdades;2,926961571;1,375090906;Negocios Internacionales;Escuela de Negocios;MAT1100;0 Avance menor a 18 temas;No alcanzo meta;4,11;3,5
358;71;0,730101733;11;2 Ecuaciones y desigualdades;61;73;4 Temas Parcial 2 Cálculo I;28,861352847;2,250767812;Economía;Div Humanidades, Artes y Cs. S;MAT1100;3 Avance superior a 55 temas;Cumplimiento meta;4,28;4,1
372;74;0,820481414;22;2 Ecuaciones y desigualdades;59;79;4 Temas Parcial 2 Cálculo I;22,093495482;2,61859426;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;2 Avance entre [ 40 - 60 temas];Cumplimiento meta;3,91;4,3
335;67;0,31068022;4;1 Repaso de álgebra y geometría;8;13;2 Ecuaciones y desigualdades;4,996394394;1,604347425;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;No alcanzo meta;3,24;4,1
258;49;0,337413839;0;0 No dominó temas;16;16;2 Ecuaciones y desigualdades;30,761694861;0,775853274;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;No alcanzo meta;2,19;2,4
370;72;0,973167486;22;1 Repaso de álgebra y geometría;121;143;5 Funciones trigonométricas;38,060315825;3,210269039;Ciencia de Datos;División de Ciencias Básicas;MAT4190;3 Avance superior a 80 temas;Cumplimiento meta;3,7;3,1
346;72;0,980674133;3;1 Repaso de álgebra y geometría;34;38;3 Temas Parcial 1 Cálculo I;33,495573708;1,0655439;Ingeniería Industrial;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;3,8;3,8
343;71;0,436483185;1;0 No dominó temas;33;33;3 Temas Parcial 1 Cálculo I;18,031537452;1,8203896;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;2,2;1,4
373;72;0,505915507;6;1 Repaso de álgebra y geometría;37;43;3 Temas Parcial 1 Cálculo I;15,919042028;2,613549302;Contaduría Pública;Escuela de Negocios;MAT1100;2 Avance entre [ 37 - 55 temas];Cumplimiento meta;4,98;4,7
367;69;2,460897906;54;3 Temas Parcial 1 Cálculo I;0;54;3 Temas Parcial 1 Cálculo I;2,507472774;0;Ingeniería Mecánica;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;Cumplimiento meta;4,7;4,6
260;44;0,246202887;0;0 No dominó temas;30;30;2 Ecuaciones y desigualdades;51,183505601;0,673377127;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];No alcanzo meta;2,14;2,4
347;72;0,111509328;1;1 Repaso de álgebra y geometría;5;6;1 Repaso de Álgebra y Geometría;3,37097492;1,49045982;Negocios Internacionales;Escuela de Negocios;MAT1100;0 Avance menor a 18 temas;No alcanzo meta;4,48;3,8
390;75;;0;0 No dominó temas;0;0;0 No dominó temas;0,131599292;0;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;No alcanzo meta;4,05;3,9
361;71;0,710594501;7;1 Repaso de álgebra y geometría;28;34;3 Temas Parcial 1 Cálculo I;17,335986387;1,864275504;Ingeniería Mecánica;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;4,15;3,4
325;55;0,233236139;1;1 Repaso de álgebra y geometría;34;35;3 Temas Parcial 1 Cálculo I;29,420483026;1,132811841;Negocios Internacionales;Escuela de Negocios;MAT1100;1 Avance entre [ 18 - 37 temas];Cumplimiento meta;4,98;3,8
420;79;1,334852541;62;4 Temas Parcial 2 Cálculo I;17;79;4 Temas Parcial 2 Cálculo I;6,689684928;2,530946298;Ingeniería Electrónica;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;Cumplimiento meta;5;4,9
380;78;0,373921977;4;1 Repaso de álgebra y geometría;39;42;3 Temas Parcial 1 Cálculo I;22,088599991;1,949765097;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;5;4,5
393;76;1,732935032;85;1 Repaso de álgebra y geometría;59;143;5 Funciones trigonométricas;12,201166995;4,889060472;Ciencia de Datos;División de Ciencias Básicas;MAT4190;2 Avance entre [ 55 - 80 temas];Cumplimiento meta;5;4,9
294;63;0,763093141;6;1 Repaso de álgebra y geometría;45;52;3 Temas Parcial 1 Cálculo I;32,133806672;1,549383459;Negocios Internacionales;Escuela de Negocios;MAT1100;2 Avance entre [ 37 - 55 temas];Cumplimiento meta;4,04;3,9
329;71;0,351426821;0;0 No dominó temas;0;0;0 No dominó temas;11,639956958;1,195637842;Administración de Empresas;Escuela de Negocios;MAT1100;0 Avance menor a 18 temas;No alcanzo meta;2,57;1,7
376;70;1,784124887;40;3 Temas Parcial 1 Cálculo I;40;79;4 Temas Parcial 2 Cálculo I;18,143191002;2,186585311;Ingeniería Eléctrica;División de Ingenierías;MAT1101;2 Avance entre [ 40 - 60 temas];Cumplimiento meta;4,96;5
338;70;1,966262869;60;4 Temas Parcial 2 Cálculo I;17;78;4 Temas Parcial 2 Cálculo I;8,048940726;2,143698311;Administración de Empresas;Escuela de Negocios;MAT1100;0 Avance menor a 18 temas;Cumplimiento meta;4,99;4,7
373;80;0,213601831;0;0 No dominó temas;31;31;3 Temas Parcial 1 Cálculo I;28,100486443;1,055408098;Negocios Internacionales;Escuela de Negocios;MAT1100;1 Avance entre [ 18 - 37 temas];Cumplimiento meta;4,26;4
314;67;0,318103164;0;0 No dominó temas;46;46;3 Temas Parcial 1 Cálculo I;26,649965676;1,76622963;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;2 Avance entre [ 40 - 60 temas];Cumplimiento meta;2,49;2,3
311;67;0,035164095;0;0 No dominó temas;21;21;2 Ecuaciones y desigualdades;18,879227888;1,096569571;Negocios Internacionales;Escuela de Negocios;MAT1100;1 Avance entre [ 18 - 37 temas];No alcanzo meta;1,99;1,4
421;80;2,57462316;29;2 Ecuaciones y desigualdades;50;79;4 Temas Parcial 2 Cálculo I;19,875414674;2,409772211;Ingeniería Eléctrica;División de Ingenierías;MAT1101;2 Avance entre [ 40 - 60 temas];Cumplimiento meta;4,52;5
391;74;3,00909981;44;3 Temas Parcial 1 Cálculo I;35;79;4 Temas Parcial 2 Cálculo I;26,965825365;1,183084422;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;4,21;4,8
345;71;0,430350514;0;0 No dominó temas;33;33;3 Temas Parcial 1 Cálculo I;18,490117551;1,773952453;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;2,35;1,5
348;66;1,097665428;11;2 Ecuaciones y desigualdades;16;27;2 Ecuaciones y desigualdades;18,601331693;0,858413946;Negocios Internacionales;Escuela de Negocios;MAT1100;0 Avance menor a 18 temas;No alcanzo meta;4,08;3,3
355;75;0,414203187;0;0 No dominó temas;34;34;3 Temas Parcial 1 Cálculo I;22,239851264;1,497364765;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;1,01;3
373;75;1,004094954;10;1 Repaso de álgebra y geometría;62;71;4 Temas Parcial 2 Cálculo I;41,058092477;1,475792261;Ingeniería Civil;División de Ingenierías;MAT1101;3 Avance superior a 60 temas;Cumplimiento meta;4,03;4
294;58;0,448043287;2;1 Repaso de álgebra y geometría;18;20;2 Ecuaciones y desigualdades;15,260102504;1,172078563;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;No alcanzo meta;3,56;3
374;72;0,071610638;1;0 No dominó temas;51;51;1 Repaso de Álgebra y Geometría;9,14106814;5,986413124;Ciencia de Datos;División de Ciencias Básicas;MAT4190;1 Avance entre [ 25 - 55 temas];No alcanzo meta;2,69;3,6
307;74;0,734117926;0;0 No dominó temas;20;20;2 Ecuaciones y desigualdades;23,423746787;0,846376595;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];No alcanzo meta;3,07;3
371;74;0,624353326;16;2 Ecuaciones y desigualdades;52;68;4 Temas Parcial 2 Cálculo I;10,637374256;3,562710461;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;2 Avance entre [ 40 - 60 temas];Cumplimiento meta;4,8;4,3
245;54;0,18456492;1;0 No dominó temas;30;30;2 Ecuaciones y desigualdades;29,612192931;1,014900874;Ingeniería Eléctrica;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];No alcanzo meta;1,04;1,6
330;63;0,392941956;1;0 No dominó temas;23;23;2 Ecuaciones y desigualdades;9,098451073;2,524281321;Ingeniería Civil;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];No alcanzo meta;2,25;3,1
304;62;0,554336892;4;1 Repaso de álgebra y geometría;27;31;3 Temas Parcial 1 Cálculo I;20,345206015;1,714795928;Ingeniería Industrial;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;3,08;3,4
337;63;0,572055017;1;1 Repaso de álgebra y geometría;0;2;1 Repaso de Álgebra y Geometría;1,171403436;0;Negocios Internacionales;Escuela de Negocios;MAT1100;0 Avance menor a 18 temas;No alcanzo meta;2,51;3,1
359;72;1,531937141;27;2 Ecuaciones y desigualdades;17;44;3 Temas Parcial 1 Cálculo I;8,233028311;2,068620569;Ingeniería Electrónica;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;Cumplimiento meta;4,63;4,3
422;76;1,479614891;36;3 Temas Parcial 1 Cálculo I;44;79;4 Temas Parcial 2 Cálculo I;19,083104626;1,936741516;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;2 Avance entre [ 40 - 60 temas];Cumplimiento meta;5;4,7
389;76;0,5289167;1;1 Repaso de álgebra y geometría;44;45;3 Temas Parcial 1 Cálculo I;30,364129086;1,498139522;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;2 Avance entre [ 40 - 60 temas];Cumplimiento meta;4,08;3,4
288;62;0,443149748;1;1 Repaso de álgebra y geometría;31;32;3 Temas Parcial 1 Cálculo I;14,594070468;2,191468164;Negocios Internacionales;Escuela de Negocios;MAT1100;1 Avance entre [ 18 - 37 temas];Cumplimiento meta;4,64;4,5
237;52;0,577272157;9;1 Repaso de álgebra y geometría;0;9;1 Repaso de Álgebra y Geometría;0,676958403;0;Ingeniería Civil;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;No alcanzo meta;0,93;1,5
293;63;0,554411938;1;1 Repaso de álgebra y geometría;11;12;2 Ecuaciones y desigualdades;17,862108286;0,613341813;Geología;División de Ciencias Básicas;MAT1101;0 Avance menor a 19 temas;No alcanzo meta;1,08;1,6
307;64;0,78363495;5;1 Repaso de álgebra y geometría;1;6;1 Repaso de Álgebra y Geometría;1,889517467;0,522576412;Negocios Internacionales;Escuela de Negocios;MAT1100;0 Avance menor a 18 temas;No alcanzo meta;3,73;3,5
280;60;0,049572269;1;1 Repaso de álgebra y geometría;2;3;1 Repaso de Álgebra y Geometría;2,466338365;0,805610868;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;No alcanzo meta;1,74;1,6
365;74;1,1121795;19;2 Ecuaciones y desigualdades;23;40;3 Temas Parcial 1 Cálculo I;21,840698723;1,057729891;Contaduría Pública;Escuela de Negocios;MAT1100;1 Avance entre [ 18 - 37 temas];Cumplimiento meta;4,89;4,9
309;60;0,339648827;0;0 No dominó temas;34;34;3 Temas Parcial 1 Cálculo I;37,769707445;0,708813657;Ingeniería Mecánica;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;2,2;1,5
303;63;0,237563616;0;0 No dominó temas;10;10;1 Repaso de Álgebra y Geometría;9,775805767;1,020976388;Administración de Empresas;Escuela de Negocios;MAT1100;0 Avance menor a 18 temas;No alcanzo meta;4;3,4
301;62;1,387354873;2;1 Repaso de álgebra y geometría;38;40;3 Temas Parcial 1 Cálculo I;25,057762439;0,954501666;Ingeniería Civil;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;2,68;4,1
422;76;2,17812321;24;2 Ecuaciones y desigualdades;25;50;3 Temas Parcial 1 Cálculo I;13,33574635;1,889798238;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;4,97;4,8
325;66;0,873728202;17;1 Repaso de álgebra y geometría;119;136;4 Funciones polinómicas y racionales;41,605165791;2,748589259;Ciencia de Datos;División de Ciencias Básicas;MAT4190;3 Avance superior a 80 temas;No alcanzo meta;4,44;3,8
379;73;0,717816599;4;1 Repaso de álgebra y geometría;40;43;3 Temas Parcial 1 Cálculo I;32,082616731;1,104591297;Ingeniería Mecánica;División de Ingenierías;MAT1101;2 Avance entre [ 40 - 60 temas];Cumplimiento meta;3,1;3,3
326;66;0,346144802;0;1 Repaso de álgebra y geometría;56;57;4 Temas Parcial 2 Cálculo I;35,321700923;1,756752936;Ingeniería Electrónica;División de Ingenierías;MAT1101;2 Avance entre [ 40 - 60 temas];Cumplimiento meta;2,67;3,1
419;99;0,754618885;10;1 Repaso de álgebra y geometría;50;59;4 Temas Parcial 2 Cálculo I;28,296991007;1,694621101;Ingeniería Electrónica;División de Ingenierías;MAT1101;2 Avance entre [ 40 - 60 temas];Cumplimiento meta;4,86;4,1
361;72;1,507380029;26;2 Ecuaciones y desigualdades;17;44;3 Temas Parcial 1 Cálculo I;8,768717877;1,945934722;Ingeniería Electrónica;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;Cumplimiento meta;4,66;4,4
312;69;0,292023526;0;1 Repaso de álgebra y geometría;10;11;2 Ecuaciones y desigualdades;9,354246233;1,051687267;Negocios Internacionales;Escuela de Negocios;MAT1100;0 Avance menor a 18 temas;No alcanzo meta;2,2;2,6
289;59;0,326954272;0;0 No dominó temas;37;37;3 Temas Parcial 1 Cálculo I;35,201229974;1,164072575;Ingeniería Electrónica;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;1,79;1,5
385;79;1,438809212;101;3 Gráficos y funciones;41;143;5 Funciones trigonométricas;11,564565149;3,540078493;Ciencia de Datos;División de Ciencias Básicas;MAT4190;1 Avance entre [ 25 - 55 temas];Cumplimiento meta;4,42;4,3
265;53;2,175501009;3;1 Repaso de álgebra y geometría;3;7;1 Repaso de Álgebra y Geometría;7,201743669;0,415774902;Administración de Empresas;Escuela de Negocios;MAT1100;0 Avance menor a 18 temas;No alcanzo meta;2,54;3,1
359;69;1,490965542;105;3 Gráficos y funciones;37;141;5 Funciones trigonométricas;13,009877521;3,251182926;Ciencia de Datos;División de Ciencias Básicas;MAT4190;1 Avance entre [ 25 - 55 temas];Cumplimiento meta;3,73;3,7
356;74;0,388170831;2;1 Repaso de álgebra y geometría;57;59;4 Temas Parcial 2 Cálculo I;30,503083536;2,062396959;Ingeniería Eléctrica;División de Ingenierías;MAT1101;2 Avance entre [ 40 - 60 temas];Cumplimiento meta;4,01;4,4
331;65;0,127951342;2;1 Repaso de álgebra y geometría;28;29;2 Ecuaciones y desigualdades;21,480273743;1,215666254;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];No alcanzo meta;1,25;1,6
263;57;0,286132752;0;0 No dominó temas;4;4;1 Repaso de Álgebra y Geometría;17,408187502;0,228308839;Administración de Empresas;Escuela de Negocios;MAT1100;0 Avance menor a 18 temas;No alcanzo meta;2,49;1,9
372;81;0,216977857;1;0 No dominó temas;31;31;3 Temas Parcial 1 Cálculo I;26,231657873;1,151426808;Negocios Internacionales;Escuela de Negocios;MAT1100;1 Avance entre [ 18 - 37 temas];Cumplimiento meta;4,21;3,9
346;67;0,278811557;1;1 Repaso de álgebra y geometría;44;45;3 Temas Parcial 1 Cálculo I;33,618674422;1,329938504;Negocios Internacionales;Escuela de Negocios;MAT1100;2 Avance entre [ 37 - 55 temas];Cumplimiento meta;4,51;4,3
257;51;0,295232241;0;0 No dominó temas;0;0;0 No dominó temas;2,805716345;0,006473073;Administración de Empresas;Escuela de Negocios;MAT1100;0 Avance menor a 18 temas;No alcanzo meta;2,19;1,4
356;75;0,456864878;4;1 Repaso de álgebra y geometría;30;34;3 Temas Parcial 1 Cálculo I;15,755381524;2,037287849;Contaduría Pública;Escuela de Negocios;MAT1100;1 Avance entre [ 18 - 37 temas];Cumplimiento meta;5;5
331;73;2,847553694;22;2 Ecuaciones y desigualdades;53;77;4 Temas Parcial 2 Cálculo I;23,846392425;1,880932463;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;2 Avance entre [ 40 - 60 temas];Cumplimiento meta;4,24;4,5
367;75;0,921670025;4;1 Repaso de álgebra y geometría;30;34;3 Temas Parcial 1 Cálculo I;16,28062751;1,838549678;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;4,4;4,2
362;70;0,598287037;3;1 Repaso de álgebra y geometría;70;74;4 Temas Parcial 2 Cálculo I;31,277105309;2,061226095;Ciencia de Datos;División de Ciencias Básicas;MAT1101;3 Avance superior a 60 temas;Cumplimiento meta;4,86;3,9
298;66;1,463553208;4;1 Repaso de álgebra y geometría;3;6;1 Repaso de Álgebra y Geometría;7,282270879;0,406555422;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;No alcanzo meta;1,65;1,5
386;84;1,137437102;13;2 Ecuaciones y desigualdades;10;22;2 Ecuaciones y desigualdades;5,43190271;1,82987834;Economía;Div Humanidades, Artes y Cs. S;MAT1100;0 Avance menor a 18 temas;No alcanzo meta;4,88;4
377;75;1,359359905;43;1 Repaso de álgebra y geometría;0;43;1 Repaso de Álgebra y Geometría;1,845394996;0,002619634;Ciencia de Datos;División de Ciencias Básicas;MAT4190;0 Avance menor a 25 temas;No alcanzo meta;3,72;3,7
356;72;0,788407636;10;1 Repaso de álgebra y geometría;30;38;3 Temas Parcial 1 Cálculo I;15,544198178;1,9558968;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;4,95;4,3
264;53;0,142204845;1;0 No dominó temas;9;9;1 Repaso de Álgebra y Geometría;8,660425784;1,04954175;Negocios Internacionales;Escuela de Negocios;MAT1100;0 Avance menor a 18 temas;No alcanzo meta;2,41;1,4
346;70;0,255739088;1;1 Repaso de álgebra y geometría;42;43;3 Temas Parcial 1 Cálculo I;30,000569681;1,470424738;Negocios Internacionales;Escuela de Negocios;MAT1100;2 Avance entre [ 37 - 55 temas];Cumplimiento meta;5;5
372;71;0,217259956;0;0 No dominó temas;20;20;2 Ecuaciones y desigualdades;15,70198248;1,29657527;Negocios Internacionales;Escuela de Negocios;MAT1100;1 Avance entre [ 18 - 37 temas];No alcanzo meta;3,94;3,9
285;57;0,487384114;3;1 Repaso de álgebra y geometría;33;34;3 Temas Parcial 1 Cálculo I;24,903169313;1,618190271;Administración de Empresas;Escuela de Negocios;MAT1100;1 Avance entre [ 18 - 37 temas];Cumplimiento meta;4,2;3,5
375;77;0,43842139;19;1 Repaso de álgebra y geometría;66;85;2 Ecuaciones y desigualdades;11,659358797;4,902269789;Ciencia de Datos;División de Ciencias Básicas;MAT4190;2 Avance entre [ 55 - 80 temas];No alcanzo meta;4,04;4,1
369;73;1,484975539;9;1 Repaso de álgebra y geometría;30;38;3 Temas Parcial 1 Cálculo I;19,202462612;1,580895143;Administración de Empresas;Escuela de Negocios;MAT1100;1 Avance entre [ 18 - 37 temas];Cumplimiento meta;5;4,4
365;75;1,439619949;8;1 Repaso de álgebra y geometría;54;61;4 Temas Parcial 2 Cálculo I;35,541295941;1,696184339;Ingeniería Industrial;División de Ingenierías;MAT1101;2 Avance entre [ 40 - 60 temas];Cumplimiento meta;2,06;3,4
373;76;0,357941559;0;1 Repaso de álgebra y geometría;1;3;1 Repaso de Álgebra y Geometría;2,516729667;0,393155998;Ingeniería Mecánica;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;No alcanzo meta;1,81;1,6
248;54;0,096366045;0;0 No dominó temas;27;27;2 Ecuaciones y desigualdades;24,737983721;1,172912889;Contaduría Pública;Escuela de Negocios;MAT1100;1 Avance entre [ 18 - 37 temas];No alcanzo meta;4,48;4,1
307;60;0,157529855;1;0 No dominó temas;10;10;1 Repaso de Álgebra y Geometría;7,680756376;1,296316525;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;No alcanzo meta;3,57;3
324;68;0,456394091;0;0 No dominó temas;25;25;2 Ecuaciones y desigualdades;25,597478719;1,024384569;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];No alcanzo meta;1,85;1,5
417;75;1,589205305;23;2 Ecuaciones y desigualdades;27;50;3 Temas Parcial 1 Cálculo I;13,090173078;2,101127016;Administración de Empresas;Escuela de Negocios;MAT1100;1 Avance entre [ 18 - 37 temas];Cumplimiento meta;4,96;4,4
318;71;0,193677228;0;0 No dominó temas;4;4;1 Repaso de Álgebra y Geometría;5,687566371;0,6885532;Negocios Internacionales;Escuela de Negocios;MAT1100;0 Avance menor a 18 temas;No alcanzo meta;3,23;1,4
450;82;0,711589403;18;2 Ecuaciones y desigualdades;29;46;3 Temas Parcial 1 Cálculo I;18,785492051;1,552368711;Ingeniería Industrial;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;4,97;5
438;70;1,873228774;26;2 Ecuaciones y desigualdades;47;73;4 Temas Parcial 2 Cálculo I;23,54001011;2,244108466;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;2 Avance entre [ 40 - 60 temas];Cumplimiento meta;4,89;4,1
373;73;1,342335553;13;2 Ecuaciones y desigualdades;66;79;4 Temas Parcial 2 Cálculo I;32,021460334;2,418611178;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;3 Avance superior a 60 temas;Cumplimiento meta;4,52;4,3
427;80;1,712631225;56;4 Temas Parcial 2 Cálculo I;18;75;4 Temas Parcial 2 Cálculo I;9,510033498;2,144100165;Ingeniería Industrial;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;Cumplimiento meta;4,93;4,5
446;79;3,307307885;24;2 Ecuaciones y desigualdades;9;31;3 Temas Parcial 1 Cálculo I;9,062257411;0,976211449;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;Cumplimiento meta;4,05;3,7
372;76;0,41694459;0;1 Repaso de álgebra y geometría;73;75;4 Temas Parcial 2 Cálculo I;37,074025962;2,100915856;Ingeniería Industrial;División de Ingenierías;MAT1101;3 Avance superior a 60 temas;Cumplimiento meta;3,5;3,7
235;53;0,203093048;1;0 No dominó temas;4;4;1 Repaso de Álgebra y Geometría;2,936935174;1,371014007;Administración de Empresas;Escuela de Negocios;MAT1100;0 Avance menor a 18 temas;No alcanzo meta;2,69;1,5
256;47;0,450326382;1;1 Repaso de álgebra y geometría;32;33;3 Temas Parcial 1 Cálculo I;16,51948588;1,96971822;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;2,08;1,6
321;67;0,7652321;20;2 Ecuaciones y desigualdades;10;30;2 Ecuaciones y desigualdades;15,300925639;0,648995507;Negocios Internacionales;Escuela de Negocios;MAT1100;0 Avance menor a 18 temas;No alcanzo meta;3,1;3,3
360;75;0,765944639;4;1 Repaso de álgebra y geometría;26;31;3 Temas Parcial 1 Cálculo I;13,960958135;1,882894841;Economía;Div Humanidades, Artes y Cs. S;MAT1100;1 Avance entre [ 18 - 37 temas];Cumplimiento meta;4,75;4,9
448;79;3,852689873;22;2 Ecuaciones y desigualdades;9;31;3 Temas Parcial 1 Cálculo I;8,399720008;1,078296558;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;Cumplimiento meta;4,01;3,7
342;74;0,557670602;0;0 No dominó temas;2;2;1 Repaso de Álgebra y Geometría;1,300176838;1,534838661;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;No alcanzo meta;3,84;3,8
358;72;1,789151089;33;3 Temas Parcial 1 Cálculo I;29;62;4 Temas Parcial 2 Cálculo I;13,883642364;2,063981843;Administración de Empresas;Escuela de Negocios;MAT1100;1 Avance entre [ 18 - 37 temas];Cumplimiento meta;5;5
374;71;2,418949658;15;2 Ecuaciones y desigualdades;15;30;2 Ecuaciones y desigualdades;8,877996874;1,69057906;Ingeniería Industrial;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;No alcanzo meta;4,54;4,3
377;70;0,347030001;69;4 Temas Parcial 2 Cálculo I;10;79;4 Temas Parcial 2 Cálculo I;13,44726388;0,76196939;Ingeniería Eléctrica;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;Cumplimiento meta;4,99;5
357;71;0,601844828;8;1 Repaso de álgebra y geometría;25;33;3 Temas Parcial 1 Cálculo I;12,432484422;2,008280085;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;3,14;3,3
365;71;0,687187438;5;1 Repaso de álgebra y geometría;28;34;3 Temas Parcial 1 Cálculo I;19,143102266;1,681837022;Ingeniería Mecánica;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;4,09;3,3
361;73;0,693292651;8;1 Repaso de álgebra y geometría;30;38;3 Temas Parcial 1 Cálculo I;15,918788027;1,857586228;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;4,94;4,3
310;56;1,485315107;13;2 Ecuaciones y desigualdades;58;70;4 Temas Parcial 2 Cálculo I;38,175774155;1,451368713;Ingeniería Industrial;División de Ingenierías;MAT1101;2 Avance entre [ 40 - 60 temas];Cumplimiento meta;3,63;4
278;57;0,400589603;0;0 No dominó temas;27;27;2 Ecuaciones y desigualdades;25,439486412;1,064270111;Geología;División de Ciencias Básicas;MAT1101;1 Avance entre [ 19 - 40 temas];No alcanzo meta;4,27;4,6
358;74;0,32501238;0;0 No dominó temas;32;32;3 Temas Parcial 1 Cálculo I;16,976688432;1,866831827;Ingeniería Electrónica;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;2,43;3,1
330;59;0,20027155;0;0 No dominó temas;32;32;3 Temas Parcial 1 Cálculo I;17,148591399;1,572397281;Ingeniería Civil;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;1,79;1,4
345;63;0,276708573;1;1 Repaso de álgebra y geometría;11;13;2 Ecuaciones y desigualdades;4,697646389;2,314494827;Ingeniería Industrial;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;No alcanzo meta;4,52;3,4
321;64;1,200953944;15;2 Ecuaciones y desigualdades;10;25;2 Ecuaciones y desigualdades;18,5139699;0,547545789;Negocios Internacionales;Escuela de Negocios;MAT1100;0 Avance menor a 18 temas;No alcanzo meta;3,73;1,4
